"Fecha","Proyecto","Tarea","Un","Integrante"
01/10/19,"ProyectoL","Corrección",16,
01/10/19,"ProyectoL","Entrega",4,
01/10/19,"ProyectoL","Test",4,
01/10/19,"ProyectoI","Revisión",1,
01/10/19,"ProyectoB","Revisión",2,
01/10/19,"ProyectoA","Corrección",2,
01/10/19,"ProyectoB","Test",2,
01/10/19,"ProyectoC","Test",4,
01/10/19,"ProyectoF","Test",4,
01/10/19,"ProyectoF","Capacitación",4,
01/10/19,"ProyectoC","Test",1,
01/10/19,"ProyectoE","Test",1,
01/10/19,"ProyectoE","Test",1,
01/10/19,"ProyectoC","Revisión",16,
01/10/19,"ProyectoC","Corrección",6,
01/10/19,"ProyectoC","Revisión",2,
01/10/19,"ProyectoJ","Test",8,
01/10/19,"ProyectoJ","Desarrollo",12,
01/10/19,"ProyectoL","Test",2,
01/10/19,"ProyectoL","Test",2,
01/10/19,"ProyectoJ","Test",1,
01/10/19,"ProyectoC","Test",2,
01/10/19,"ProyectoC","Test",2,
01/10/19,"ProyectoK","Revisión",20,
01/10/19,"ProyectoE","Desarrollo",8,
01/10/19,"ProyectoD","Desarrollo",4,
01/10/19,"Generales","Asignación",16,
01/10/19,"Generales","Asignación",6,
01/10/19,"ProyectoB","Asignación",4,
01/10/19,"ProyectoC","Revisión",3,
01/11/19,"ProyectoF","Test",2,
01/11/19,"ProyectoD","Desarrollo",12,
01/11/19,"ProyectoE","Desarrollo",8,
01/11/19,"ProyectoF","Desarrollo",16,
01/11/19,"ProyectoD","Desarrollo",3,
01/11/19,"ProyectoC","Revisión",28,
01/11/19,"ProyectoC","Revisión",28,
01/11/19,"ProyectoI","Entrega",2,
01/11/19,"ProyectoD","Desarrollo",2,
01/11/19,"ProyectoF","Desarrollo",16,
01/11/19,"ProyectoF","Test",2,
01/11/19,"ProyectoF","Test",1,
01/11/19,"ProyectoD","Test",2,
01/11/19,"ProyectoB","Test",2,
01/11/19,"ProyectoF","Test",4,
01/11/19,"ProyectoL","Test",2,
01/11/19,"ProyectoC","Test",5,
01/11/19,"ProyectoC","Test",1,
01/11/19,"ProyectoC","Test",1,
01/11/19,"ProyectoF","Desarrollo",48,
01/11/19,"ProyectoC","Test",3,
01/11/19,"ProyectoC","Revisión",10,
01/11/19,"ProyectoH","Revisión",16,
01/11/19,"ProyectoP","Test",1,
01/11/19,"ProyectoP","Test",1,
01/11/19,"ProyectoP","Test",3,
01/11/19,"ProyectoH","Test",2,
01/11/19,"ProyectoL","Desarrollo",30,
01/11/19,"ProyectoP","Test",1,
01/11/19,"ProyectoF","Test",1,
01/11/19,"ProyectoF","Test",1,
01/11/19,"ProyectoF","Desarrollo",20,
01/11/19,"ProyectoF","Desarrollo",1,
01/11/19,"ProyectoP","Test",2,
01/11/19,"ProyectoK","Revisión",34,
01/11/19,"Generales","Asignación",24,
01/11/19,"Generales","Asignación",8,
01/11/19,"ProyectoB","Asignación",8,
01/11/19,"ProyectoP","Asignación",2,
01/11/19,"ProyectoL","Asignación",4,
01/12/19,"ProyectoC","Test",4,
01/12/19,"ProyectoM","Test",8,
01/12/19,"ProyectoF","Test",2,
01/12/19,"ProyectoF","Desarrollo",8,
01/12/19,"ProyectoF","Desarrollo",5,
01/12/19,"ProyectoF","Desarrollo",3,
01/12/19,"ProyectoL","Desarrollo",2,
01/12/19,"ProyectoL","Desarrollo",15,
